Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,166.932495,169.587494,166.932495,169.157501,124.478203,4734168
2005-01-04,168.750000,169.250000,166.645004,167.657501,123.374405,4979104
2005-01-05,167.524994,167.524994,160.037506,165.625000,121.878769,9604320
2005-01-06,165.000000,168.250000,161.562500,165.057495,121.461105,8006888
2005-01-07,166.250000,168.125000,164.082504,167.494995,123.254799,7623136
2005-01-10,168.582504,169.925003,165.250000,165.932495,122.104988,7521568
2005-01-11,166.250000,166.912506,162.625000,164.220001,120.844894,7986376
2005-01-12,165.744995,170.994995,160.837494,162.257507,119.400711,20720032
2005-01-13,163.750000,167.337494,159.375000,161.612503,118.926056,27757952
2005-01-14,163.087494,164.737503,159.625000,162.050003,119.248009,15757776
2005-01-17,163.699997,163.699997,155.024994,157.907501,116.199654,13651184
2005-01-18,159.337494,160.500000,157.187500,157.982498,116.254875,6183264
2005-01-19,158.250000,159.212494,156.387497,156.925003,115.476707,3538488
2005-01-20,156.875000,156.875000,153.750000,155.462494,114.400482,4536200
2005-01-24,155.462494,155.919998,151.919998,152.582504,112.281120,3628192
2005-01-25,151.850006,154.987503,150.887497,154.432495,113.642509,4465928
2005-01-27,155.407501,156.725006,154.412506,155.070007,114.111618,5455344
2005-01-28,155.357498,161.850006,155.312500,161.149994,118.585739,8393816
2005-01-31,162.250000,163.975006,161.282501,162.550003,119.615952,5853384
2005-02-01,163.375000,165.000000,160.875000,164.407501,120.982841,8019840
2005-02-02,164.875000,165.432495,162.875000,163.619995,120.403320,4870456
2005-02-03,164.000000,164.345001,162.750000,163.887497,120.923538,3327616
2005-02-04,163.750000,165.250000,162.570007,163.307495,120.495598,2684040
2005-02-07,164.074997,166.337494,162.625000,164.220001,121.168854,5944216
2005-02-08,164.220001,165.375000,163.500000,164.500000,121.375465,3284432
2005-02-09,165.125000,167.949997,165.095001,166.600006,122.924927,5537936
2005-02-10,166.250000,167.937500,165.375000,166.582504,122.912025,4376648
2005-02-11,167.250000,173.375000,167.250000,172.720001,127.440468,10367096
2005-02-14,173.882507,177.250000,173.882507,176.207504,130.013763,8875264
2005-02-15,176.250000,176.875000,171.750000,172.669998,127.403618,3976720
2005-02-16,174.875000,174.875000,170.125000,171.020004,126.186142,3126832
2005-02-17,171.020004,173.250000,168.824997,172.732498,127.449791,4124976
2005-02-18,172.500000,174.000000,169.375000,171.875000,126.817062,2545144
2005-02-21,171.375000,171.975006,168.137497,170.695007,125.946426,1777152
2005-02-22,170.587494,171.244995,168.875000,170.432495,125.752739,2139040
2005-02-23,170.432495,172.762497,169.395004,171.869995,126.813347,5166816
2005-02-24,171.869995,174.487503,170.149994,170.994995,126.167770,10806440
2005-02-25,172.100006,172.375000,169.145004,170.507507,125.808029,5070896
2005-02-28,172.375000,173.125000,167.500000,172.612503,127.361221,6402408
2005-03-01,172.625000,180.000000,168.875000,169.682495,125.199272,4958152
2005-03-02,171.875000,171.875000,170.199997,171.000000,126.171394,2658112
2005-03-03,171.250000,174.375000,170.500000,173.695007,128.159866,2891160
2005-03-04,174.250000,175.437500,172.750000,174.032501,128.408890,4017872
2005-03-07,174.375000,176.000000,174.250000,175.024994,129.141266,3658032
2005-03-08,175.500000,177.612503,174.419998,176.744995,130.410309,5027680
2005-03-09,176.125000,178.312500,174.382507,175.937500,129.814560,5422088
2005-03-10,176.250000,176.250000,173.782501,174.945007,129.082230,2302280
2005-03-11,175.750000,179.362503,175.625000,178.432495,131.655457,5205744
2005-03-14,178.500000,182.500000,177.500000,181.482498,133.905899,6534032
2005-03-15,181.375000,182.750000,178.750000,180.332504,133.057373,4146480
2005-03-16,180.000000,183.449997,180.000000,181.507507,133.924286,5473416
2005-03-17,181.000000,184.212494,180.000000,182.619995,134.745178,6805328
2005-03-18,182.375000,184.062500,178.125000,183.587494,135.459000,6123464
2005-03-21,183.770004,184.375000,180.574997,182.057495,134.330093,4354120
2005-03-22,181.850006,182.137497,180.012497,180.445007,133.140396,2684432
2005-03-23,180.000000,181.000000,176.669998,177.657501,131.083633,3439416
2005-03-24,178.750000,179.750000,172.207504,173.044998,127.680328,5954576
